,QUARTER,EDULEVELS_NAME_MIN,SALARY
0,2018-Q1,No Degree,55000.0
1,2018-Q1,HNC/HND,57117.0
2,2018-Q1,PhD Equivalent,42500.0
3,2018-Q1,Master,57500.0
4,2018-Q1,Bachelor,54818.0
5,2018-Q2,HNC/HND,30728.0
6,2018-Q2,PhD Equivalent,46600.0
7,2018-Q2,Master,47500.0
8,2018-Q2,No Degree,50000.0
9,2018-Q2,Bachelor,44558.5
10,2018-Q3,Master,52500.0
11,2018-Q3,PhD Equivalent,44467.0
12,2018-Q3,No Degree,47500.0
13,2018-Q3,Bachelor,45000.0
14,2018-Q3,HNC/HND,33473.0
15,2018-Q4,Bachelor,44734.0
16,2018-Q4,No Degree,52500.0
17,2018-Q4,HNC/HND,30364.0
18,2018-Q4,Master,55000.0
19,2018-Q4,PhD Equivalent,43000.0
20,2019-Q1,Master,62500.0
21,2019-Q1,PhD Equivalent,37340.0
22,2019-Q1,HNC/HND,29364.0
23,2019-Q1,Bachelor,40000.0
24,2019-Q1,No Degree,52500.0
25,2019-Q2,No Degree,50000.0
26,2019-Q2,HNC/HND,30949.5
27,2019-Q2,Bachelor,44438.5
28,2019-Q2,PhD Equivalent,39536.0
29,2019-Q2,Master,55000.0
30,2019-Q3,No Degree,47500.0
31,2019-Q3,Master,46250.0
32,2019-Q3,HNC/HND,30996.0
33,2019-Q3,PhD Equivalent,37563.0
34,2019-Q3,Bachelor,47000.0
35,2019-Q4,Master,52500.0
36,2019-Q4,Bachelor,42500.0
37,2019-Q4,PhD Equivalent,40448.0
38,2019-Q4,HNC/HND,28500.0
39,2019-Q4,No Degree,52500.0
40,2020-Q1,No Degree,50000.0
41,2020-Q1,Bachelor,45000.0
42,2020-Q1,Master,55000.0
43,2020-Q1,PhD Equivalent,42368.0
44,2020-Q1,HNC/HND,43750.0
45,2020-Q2,Master,61150.5
46,2020-Q2,Bachelor,46269.5
47,2020-Q2,HNC/HND,32516.0
48,2020-Q2,No Degree,52500.0
49,2020-Q2,PhD Equivalent,45157.0
50,2020-Q3,No Degree,50000.0
51,2020-Q3,Bachelor,48164.0
52,2020-Q3,PhD Equivalent,40000.0
53,2020-Q3,Master,52500.0
54,2020-Q3,HNC/HND,38000.0
55,2020-Q4,PhD Equivalent,39790.0
56,2020-Q4,Bachelor,45000.0
57,2020-Q4,Master,49553.0
58,2020-Q4,No Degree,52946.5
59,2020-Q4,HNC/HND,47175.0
60,2021-Q1,PhD Equivalent,45539.0
61,2021-Q1,No Degree,55000.0
62,2021-Q1,Bachelor,45000.0
63,2021-Q1,HNC/HND,37011.0
64,2021-Q1,Master,60000.0
65,2021-Q2,PhD Equivalent,38294.0
66,2021-Q2,Master,52500.0
67,2021-Q2,HNC/HND,37500.0
68,2021-Q2,Bachelor,43439.0
69,2021-Q2,No Degree,55000.0
70,2021-Q3,PhD Equivalent,40322.0
71,2021-Q3,Master,50000.0
72,2021-Q3,HNC/HND,43192.5
73,2021-Q3,No Degree,55000.0
74,2021-Q3,Bachelor,45534.0
75,2021-Q4,No Degree,50211.0
76,2021-Q4,Master,60402.0
77,2021-Q4,HNC/HND,34350.0
78,2021-Q4,Bachelor,46222.0
79,2021-Q4,PhD Equivalent,38339.0
80,2022-Q1,No Degree,52000.0
81,2022-Q1,HNC/HND,50000.0
82,2022-Q1,Master,61910.5
83,2022-Q1,Bachelor,49113.0
84,2022-Q1,PhD Equivalent,38803.0
85,2022-Q2,PhD Equivalent,42242.0
86,2022-Q2,Bachelor,50000.0
87,2022-Q2,HNC/HND,32759.0
88,2022-Q2,No Degree,53750.0
89,2022-Q2,Master,59151.5
90,2022-Q3,Master,48180.5
91,2022-Q3,PhD Equivalent,42076.0
92,2022-Q3,Bachelor,47874.0
93,2022-Q3,HNC/HND,32913.5
94,2022-Q3,No Degree,52000.0
95,2022-Q4,PhD Equivalent,42231.0
96,2022-Q4,HNC/HND,40187.0
97,2022-Q4,No Degree,52500.0
98,2022-Q4,Master,50804.5
99,2022-Q4,Bachelor,45972.0
100,2023-Q1,Master,46548.0
101,2023-Q1,Bachelor,47609.0
102,2023-Q1,No Degree,50138.0
103,2023-Q1,HNC/HND,43000.0
104,2023-Q1,PhD Equivalent,39791.0
105,2023-Q2,HNC/HND,39750.0
106,2023-Q2,PhD Equivalent,44414.0
107,2023-Q2,Bachelor,50000.0
108,2023-Q2,Master,54780.0
109,2023-Q2,No Degree,43430.0
110,2023-Q3,No Degree,50000.0
111,2023-Q3,HNC/HND,39744.0
112,2023-Q3,PhD Equivalent,44263.0
113,2023-Q3,Bachelor,45076.0
114,2023-Q3,Master,62789.0
115,2023-Q4,PhD Equivalent,46510.5
116,2023-Q4,No Degree,45210.0
117,2023-Q4,Bachelor,45987.0
118,2023-Q4,HNC/HND,40949.5
119,2023-Q4,Master,55697.0
120,2024-Q1,No Degree,47500.0
121,2024-Q1,Bachelor,47458.0
122,2024-Q1,PhD Equivalent,47319.0
123,2024-Q1,HNC/HND,45098.0
124,2024-Q1,Master,54170.0
125,2024-Q2,Bachelor,43396.0
126,2024-Q2,HNC/HND,41082.0
127,2024-Q2,Master,56925.0
128,2024-Q2,No Degree,45000.0
129,2024-Q2,PhD Equivalent,44263.0
