,SOC_1,OCCUPATION,AI_COEF,AI_PVAL,GREEN_COEF,GREEN_PVAL,DEGREE_COEF,DEGREE_PVAL,DEGREE_PREV,AI_DEMAND,GREEN_DEMAND,COUNT
4,NULL,Administrative and secretarial,0.15776186618345944,3.291331719605254e-11,0.10056465194151595,1.368442206943842e-20,0.20687222643414002,0.0,4.72,0.23,0.86,876917
3,NULL,Associate professional,0.3686776414349372,0.0,0.1277395264181692,1.4474675436096786e-59,0.13423486890210742,0.0,11.68,1.36,1.56,1684507
8,NULL,"Caring, leisure and other service",-0.01559966890630704,0.6032462710914903,-0.0036157488730759746,0.8601313868088649,0.1812539745940329,2.741274020555813e-214,3.10,0.13,0.35,596774
2,NULL,Elementary,0.1087910717244257,3.320059384583446e-05,0.025077800267676614,0.0026796541646728054,0.16471815142810983,2.0232245848008606e-89,1.90,0.14,1.18,658074
0,NULL,"Managers, directors and senior officials",0.23276333744726113,7.375979482987123e-29,0.03647756548417891,0.0029132598471586077,0.1963888286843192,0.0,10.67,0.57,1.34,1011396
5,"Process, plant and machine operatives","Process, plant and machine",0.0647824802907151,0.11775602204789123,0.01462396145336059,0.16975110458401058,0.13052013927635786,9.628402928396513e-36,1.72,0.15,1.37,438357
1,NULL,Professional,0.20228221735455906,1.5812100755658068e-171,-0.04259162077221428,7.859314231607168e-12,0.03224040425057753,4.2811791403601094e-76,18.01,1.30,1.31,3353394
7,NULL,Sales and customer service,0.12244015812337156,2.7500721761522046e-06,0.08778573347023211,2.6804186936455263e-12,0.1664028207698463,3.356186132097025e-156,4.66,0.45,0.76,712974
6,NULL,Skilled trades,-0.057559604751693194,0.1706348166447824,0.054678140967301524,3.0288175566441735e-08,0.20895778265081238,1.7788131476849367e-105,2.22,0.18,1.58,634961
