,QUARTER,SKILL_COUNT,COUNT,SKILL_RATIO,GROUP,TYPE
0,2019-Q2,1962.0,283172.0,0.006929,AI/ML,Raw
1,2020-Q1,3023.0,363402.0,0.008319,AI/ML,Raw
2,2019-Q1,2141.0,318484.0,0.006722,AI/ML,Raw
3,2024-Q1,3484.0,437134.0,0.00797,AI/ML,Raw
4,2020-Q2,1982.0,186383.0,0.010634,AI/ML,Raw
5,2021-Q4,4625.0,511861.0,0.009036,AI/ML,Raw
6,2022-Q2,7489.0,578532.0,0.012945,AI/ML,Raw
7,2022-Q1,5737.0,596705.0,0.009614,AI/ML,Raw
8,2022-Q4,4364.0,502009.0,0.008693,AI/ML,Raw
9,2023-Q3,3439.0,506220.0,0.006793,AI/ML,Raw
10,2023-Q4,3247.0,441052.0,0.007362,AI/ML,Raw
11,2023-Q2,3663.0,551084.0,0.006647,AI/ML,Raw
12,2018-Q2,2309.0,403022.0,0.005729,AI/ML,Raw
13,2021-Q3,4039.0,488580.0,0.008267,AI/ML,Raw
14,2018-Q1,2596.0,449189.0,0.005779,AI/ML,Raw
15,2018-Q3,2174.0,378586.0,0.005742,AI/ML,Raw
16,2018-Q4,2123.0,354035.0,0.005997,AI/ML,Raw
17,2024-Q2,3827.0,396924.0,0.009642,AI/ML,Raw
18,2021-Q1,3529.0,340041.0,0.010378,AI/ML,Raw
19,2020-Q4,2881.0,318413.0,0.009048,AI/ML,Raw
20,2019-Q3,2420.0,337576.0,0.007169,AI/ML,Raw
21,2021-Q2,4071.0,431921.0,0.009425,AI/ML,Raw
22,2023-Q1,4251.0,576518.0,0.007374,AI/ML,Raw
23,2019-Q4,2697.0,312871.0,0.00862,AI/ML,Raw
24,2020-Q3,2535.0,270403.0,0.009375,AI/ML,Raw
25,2022-Q3,4318.0,503673.0,0.008573,AI/ML,Raw
26,2019-Q2,2942.0,283172.0,0.010389,Green,Raw
27,2020-Q1,3985.0,363402.0,0.010966,Green,Raw
28,2019-Q1,3370.0,318484.0,0.010581,Green,Raw
29,2024-Q1,7151.0,437134.0,0.016359,Green,Raw
30,2020-Q2,2166.0,186383.0,0.011621,Green,Raw
31,2021-Q4,5479.0,511861.0,0.010704,Green,Raw
32,2022-Q2,7509.0,578532.0,0.012979,Green,Raw
33,2022-Q1,7026.0,596705.0,0.011775,Green,Raw
34,2022-Q4,7418.0,502009.0,0.014777,Green,Raw
35,2023-Q4,6934.0,441052.0,0.015722,Green,Raw
36,2023-Q3,8064.0,506220.0,0.01593,Green,Raw
