,OCCUPATION,AI_2018,AI_2019,AI_2020,AI_2021,AI_2022,AI_2023,GREEN_2018,GREEN_2019,GREEN_2020,GREEN_2021,GREEN_2022,GREEN_2023
0,Administrative and secretarial occupations,0.0013585603527989187,0.0016604622512654329,0.0025867823765020025,0.002438101927518809,0.003074897880229713,0.002488038277511962,0.00594636887403087,0.007668478891596811,0.008821285523555216,0.008665054772871557,0.008767478433007923,0.010624595887753783
1,Associate professional occupations,0.010546721831127854,0.011906780632003483,0.016023593543716196,0.015683176501568318,0.01618285221422603,0.01105000448336671,0.011708400364994265,0.014276220811659296,0.015773391252502024,0.014856518101485652,0.015994178054499878,0.019753713722091042
2,"Caring, leisure and other service occupations",0.0010768664549283679,0.0011490326387379275,0.0008824962790268832,0.0009140679874147271,0.001721763085399449,0.0015840640354381759,0.0036940608770327558,0.0038508120865811623,0.002976778493433964,0.004204712742107744,0.0030405603423011547,0.0035606395132858114
3,Elementary occupations,0.0010523095747935148,0.0010101561646827563,0.001332279902712584,0.0014576509526177696,0.001753076215488395,0.0014951074499400794,0.00838176812480881,0.01066124276509774,0.013353782280677294,0.011086721657263389,0.012471504179387024,0.013357068891293471
4,"Managers, directors and senior officials",0.0035983478681880943,0.005092856153739634,0.0058502648430705986,0.005969850029793561,0.006881887603456948,0.006405591774705338,0.01016144746830525,0.011932054221223825,0.012104602032659586,0.012919824691344275,0.014801774200923682,0.01659810604373029
5,"Process, plant and machine operatives",0.0005789968878917276,0.001999893810948091,0.0018830898531189914,0.001313297133476449,0.0018838589602460365,0.0016418805847620852,0.009944271549540421,0.012441817248641665,0.0151043628218597,0.013878014900871323,0.015070871681968292,0.015071621778072475
6,Professional occupations,0.008968488362641233,0.011776036211732697,0.013402923635648404,0.01456771307062612,0.01594135666915543,0.011975621979016797,0.00898293909917721,0.01133061263799102,0.010309761140419274,0.012442128207019183,0.014703379595063463,0.01839829289189932
7,Sales and customer service occupations,0.0020050332109410453,0.004386009858274495,0.004815806320200198,0.0049570987202767714,0.007257330907534247,0.0034113029925577263,0.007459053591319774,0.007245114415420719,0.008191235523482512,0.007943406456276841,0.007156999143835617,0.007686385458460345
8,Skilled trades occupations,0.0008015389547932029,0.0013594823896679337,0.002354297794647576,0.001613603922298765,0.0021218917306632234,0.002499121930132656,0.011722507213850594,0.013506709297349009,0.014894537068178542,0.016011915844349283,0.018470274637730405,0.017500607894523547
