,QUARTER,EDULEVELS_NAME_MIN,SALARY
0,2018-Q1,HNC/HND,35000.0
1,2018-Q1,No Degree,30000.0
2,2018-Q1,PhD Equivalent,40000.0
3,2018-Q1,Master,39984.0
4,2018-Q1,Bachelor,36741.0
5,2018-Q2,HNC/HND,35000.0
6,2018-Q2,PhD Equivalent,39530.0
7,2018-Q2,Bachelor,36000.0
8,2018-Q2,No Degree,29000.0
9,2018-Q2,Master,37976.0
10,2018-Q3,Master,38500.0
11,2018-Q3,PhD Equivalent,40502.0
12,2018-Q3,No Degree,27500.0
13,2018-Q3,Bachelor,36000.0
14,2018-Q3,HNC/HND,35000.0
15,2018-Q4,Master,38222.0
16,2018-Q4,Bachelor,36000.0
17,2018-Q4,HNC/HND,35000.0
18,2018-Q4,PhD Equivalent,40226.0
19,2018-Q4,No Degree,27500.0
20,2019-Q1,No Degree,29000.0
21,2019-Q1,HNC/HND,35550.0
22,2019-Q1,Bachelor,36926.0
23,2019-Q1,Master,38284.0
24,2019-Q1,PhD Equivalent,40151.0
25,2019-Q2,No Degree,29000.0
26,2019-Q2,Bachelor,36404.0
27,2019-Q2,Master,40000.0
28,2019-Q2,PhD Equivalent,40151.0
29,2019-Q2,HNC/HND,36000.0
30,2019-Q3,PhD Equivalent,39014.0
31,2019-Q3,No Degree,27706.0
32,2019-Q3,Master,39000.0
33,2019-Q3,HNC/HND,37307.0
34,2019-Q3,Bachelor,36215.0
35,2019-Q4,PhD Equivalent,39717.0
36,2019-Q4,No Degree,28965.0
37,2019-Q4,Master,40262.0
38,2019-Q4,HNC/HND,37500.0
39,2019-Q4,Bachelor,37059.0
40,2020-Q1,Master,39000.0
41,2020-Q1,No Degree,29500.0
42,2020-Q1,PhD Equivalent,41563.0
43,2020-Q1,HNC/HND,35000.0
44,2020-Q1,Bachelor,37500.0
45,2020-Q2,No Degree,32431.0
46,2020-Q2,Master,39000.0
47,2020-Q2,HNC/HND,38000.0
48,2020-Q2,PhD Equivalent,42868.5
49,2020-Q2,Bachelor,40000.0
50,2020-Q3,No Degree,31000.0
51,2020-Q3,HNC/HND,37440.0
52,2020-Q3,PhD Equivalent,41773.0
53,2020-Q3,Master,41500.0
54,2020-Q3,Bachelor,40000.0
55,2020-Q4,Bachelor,39318.0
56,2020-Q4,No Degree,30160.0
57,2020-Q4,HNC/HND,36000.0
58,2020-Q4,Master,41500.0
59,2020-Q4,PhD Equivalent,41773.0
60,2021-Q1,Bachelor,39000.0
61,2021-Q1,Master,41696.0
62,2021-Q1,HNC/HND,37059.0
63,2021-Q1,PhD Equivalent,43233.0
64,2021-Q1,No Degree,31200.0
65,2021-Q2,PhD Equivalent,42609.0
66,2021-Q2,Master,41696.0
67,2021-Q2,HNC/HND,36000.0
68,2021-Q2,No Degree,29120.0
69,2021-Q2,Bachelor,38500.0
70,2021-Q3,No Degree,27500.0
71,2021-Q3,Master,41600.0
72,2021-Q3,Bachelor,37615.0
73,2021-Q3,HNC/HND,35029.5
74,2021-Q3,PhD Equivalent,43233.0
75,2021-Q4,No Degree,27612.0
76,2021-Q4,Bachelor,37615.0
77,2021-Q4,HNC/HND,35666.0
78,2021-Q4,Master,42500.0
79,2021-Q4,PhD Equivalent,46222.0
80,2022-Q1,Bachelor,39000.0
81,2022-Q1,Master,40000.0
82,2022-Q1,PhD Equivalent,42609.0
83,2022-Q1,No Degree,29365.0
84,2022-Q1,HNC/HND,37950.0
85,2022-Q2,No Degree,30000.0
86,2022-Q2,Master,40419.0
87,2022-Q2,PhD Equivalent,42948.0
88,2022-Q2,HNC/HND,37500.0
89,2022-Q2,Bachelor,39071.0
90,2022-Q3,No Degree,29785.0
91,2022-Q3,Bachelor,39500.0
92,2022-Q3,Master,40760.5
93,2022-Q3,HNC/HND,37500.0
94,2022-Q3,PhD Equivalent,39849.5
95,2022-Q4,No Degree,29509.0
96,2022-Q4,HNC/HND,38685.0
97,2022-Q4,PhD Equivalent,42076.0
98,2022-Q4,Bachelor,39500.0
99,2022-Q4,Master,41546.0
100,2023-Q1,HNC/HND,39425.0
101,2023-Q1,Bachelor,40000.0
102,2023-Q1,PhD Equivalent,42192.5
103,2023-Q1,No Degree,29500.0
104,2023-Q1,Master,43878.5
105,2023-Q2,Master,43500.0
106,2023-Q2,Bachelor,40789.0
107,2023-Q2,HNC/HND,40000.0
108,2023-Q2,No Degree,30000.0
109,2023-Q2,PhD Equivalent,50750.0
110,2023-Q3,No Degree,30000.0
111,2023-Q3,PhD Equivalent,45730.0
112,2023-Q3,HNC/HND,40000.0
113,2023-Q3,Master,44629.0
114,2023-Q3,Bachelor,41947.0
115,2023-Q4,Master,43962.0
116,2023-Q4,PhD Equivalent,46899.0
117,2023-Q4,Bachelor,42205.0
118,2023-Q4,No Degree,30200.0
119,2023-Q4,HNC/HND,40000.0
120,2024-Q1,No Degree,30000.0
121,2024-Q1,Master,45000.0
122,2024-Q1,Bachelor,42500.0
123,2024-Q1,PhD Equivalent,50803.0
124,2024-Q1,HNC/HND,40757.5
125,2024-Q2,Master,46852.0
126,2024-Q2,No Degree,31603.5
127,2024-Q2,Bachelor,42500.0
128,2024-Q2,HNC/HND,40358.0
129,2024-Q2,PhD Equivalent,50585.0
